run_id,source_group,experiment_name,dataset,model_family,variant_type,backend,precision,batch_size,mode,params,train_resolution,input_resolution,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms,cuda_peak_allocated_mb,input_bank,source,sample_index,notes,bank_meta_dataset,bank_meta_resolution,bank_meta_num_samples,synthetic_frontier,synthetic_from,soft_infeasible_200ms,soft_infeasible_500ms,soft_infeasible_1000ms,json_path,tegrastats_path,sample_count,ram_mb_mean,ram_mb_peak,swap_mb_peak,board_power_w_mean,board_power_w_peak,gpu_util_pct_mean,gpu_util_pct_peak,temp_gpu_c_mean,temp_gpu_c_peak,tegrastats_path_tegrastats,success,oom_flag
jetson_fno_samples:darcy_base_ts_fp32_s2,jetson_fno_samples,darcy_base_ts_fp32_s2,darcy,unknown,sample_variance,torchscript,fp32,1,torchscript,,141x141,141x141,7.646708902902901,7.488502888008952,7.802724372595549,11.467387899756432,7.468982134014368,11.837002821266651,,artifacts/benchmark_inputs/darcy_r141_bank.pt,artifacts/torchscript/darcy_fno_base_seed0.ts,2,,darcy,141x141,8,False,,False,False,False,results/jetson_fno_samples/darcy_base_ts_fp32_s2.json,results/jetson_fno_samples/darcy_base_ts_fp32_s2_tegrastats.log,47.0,2758.6382978723404,2917.0,1982.0,11.987021276595748,20.03,17.106382978723403,98.0,57.81608510638294,59.812,results/jetson_fno_samples/darcy_base_ts_fp32_s2_tegrastats.log,True,False
jetson_fno_samples:darcy_base_ts_fp32_s3,jetson_fno_samples,darcy_base_ts_fp32_s3,darcy,unknown,sample_variance,torchscript,fp32,1,torchscript,,141x141,141x141,7.675844733603299,7.49792717397213,7.915657013654709,12.564584612846375,7.46901286765933,14.039366040378809,,artifacts/benchmark_inputs/darcy_r141_bank.pt,artifacts/torchscript/darcy_fno_base_seed0.ts,3,,darcy,141x141,8,False,,False,False,False,results/jetson_fno_samples/darcy_base_ts_fp32_s3.json,results/jetson_fno_samples/darcy_base_ts_fp32_s3_tegrastats.log,48.0,2752.7083333333335,2930.0,1982.0,11.990583333333335,20.272,20.333333333333332,99.0,58.0914583333333,60.281,results/jetson_fno_samples/darcy_base_ts_fp32_s3_tegrastats.log,True,False
jetson_fno_samples:darcy_base_ts_fp32_s4,jetson_fno_samples,darcy_base_ts_fp32_s4,darcy,unknown,sample_variance,torchscript,fp32,1,torchscript,,141x141,141x141,7.68412203527987,7.499126717448235,8.316151797771454,10.828031692653894,7.468725088983774,13.47284484654665,,artifacts/benchmark_inputs/darcy_r141_bank.pt,artifacts/torchscript/darcy_fno_base_seed0.ts,4,,darcy,141x141,8,False,,False,False,False,results/jetson_fno_samples/darcy_base_ts_fp32_s4.json,results/jetson_fno_samples/darcy_base_ts_fp32_s4_tegrastats.log,47.0,2755.2340425531916,2914.0,1982.0,11.985063829787235,19.99,17.04255319148936,99.0,58.34597872340424,60.125,results/jetson_fno_samples/darcy_base_ts_fp32_s4_tegrastats.log,True,False
jetson_fno_samples:darcy_base_ts_fp32_s5,jetson_fno_samples,darcy_base_ts_fp32_s5,darcy,unknown,sample_variance,torchscript,fp32,1,torchscript,,141x141,141x141,7.590591544285417,7.509669754654169,7.832674775272608,8.937426377087831,7.472373079508543,9.2302062548697,,artifacts/benchmark_inputs/darcy_r141_bank.pt,artifacts/torchscript/darcy_fno_base_seed0.ts,5,,darcy,141x141,8,False,,False,False,False,results/jetson_fno_samples/darcy_base_ts_fp32_s5.json,results/jetson_fno_samples/darcy_base_ts_fp32_s5_tegrastats.log,47.0,2755.872340425532,2913.0,1982.0,12.00468085106383,20.111,17.29787234042553,99.0,58.580765957446786,60.312,results/jetson_fno_samples/darcy_base_ts_fp32_s5_tegrastats.log,True,False
jetson_fno_samples:darcy_base_ts_fp32_s6,jetson_fno_samples,darcy_base_ts_fp32_s6,darcy,unknown,sample_variance,torchscript,fp32,1,torchscript,,141x141,141x141,7.560739880427718,7.494501071050763,7.830243092030287,8.477117866277695,7.471667602658272,9.245757013559341,,artifacts/benchmark_inputs/darcy_r141_bank.pt,artifacts/torchscript/darcy_fno_base_seed0.ts,6,,darcy,141x141,8,False,,False,False,False,results/jetson_fno_samples/darcy_base_ts_fp32_s6.json,results/jetson_fno_samples/darcy_base_ts_fp32_s6_tegrastats.log,48.0,2747.5833333333335,2913.0,1982.0,11.992708333333335,20.272,18.916666666666668,99.0,58.7633333333333,60.593,results/jetson_fno_samples/darcy_base_ts_fp32_s6_tegrastats.log,True,False
jetson_fno_samples:darcy_base_ts_fp32_s7,jetson_fno_samples,darcy_base_ts_fp32_s7,darcy,unknown,sample_variance,torchscript,fp32,1,torchscript,,141x141,141x141,7.593778278678656,7.503862027078867,8.01421795040369,8.776105009019375,7.473459932953119,9.353762026876211,,artifacts/benchmark_inputs/darcy_r141_bank.pt,artifacts/torchscript/darcy_fno_base_seed0.ts,7,,darcy,141x141,8,False,,False,False,False,results/jetson_fno_samples/darcy_base_ts_fp32_s7.json,results/jetson_fno_samples/darcy_base_ts_fp32_s7_tegrastats.log,47.0,2750.808510638298,2910.0,1982.0,12.007553191489366,19.99,16.893617021276597,99.0,59.013638297872326,60.875,results/jetson_fno_samples/darcy_base_ts_fp32_s7_tegrastats.log,True,False
jetson_fno_profile_nsys:burgers_base_ts_fp32,jetson_fno_profile_nsys,burgers_base_ts_fp32,burgers,unknown,scale,torchscript,fp32,1,torchscript,,2048,2048,5.303853300089638,5.266788648441434,5.539405159652233,5.579118151217699,5.17888180911541,5.654481239616871,11.77783203125,artifacts/benchmark_inputs/burgers_r2048_bank.pt,artifacts/torchscript/burgers_fno_base_seed3.ts,0,nsys representative profile,burgers,2048,8,False,,False,False,False,results/jetson_fno_profile_nsys/burgers_base_ts_fp32.json,results/jetson_fno_profile_nsys/burgers_base_ts_fp32_tegrastats.log,239.0,3093.5062761506274,3655.0,1478.0,9.523225941422602,10.83,1.0543933054393306,62.0,48.44206694560676,49.125,results/jetson_fno_profile_nsys/burgers_base_ts_fp32_tegrastats.log,True,False
jetson_fno_profile_nsys:darcy_base_r281_ts_fp32,jetson_fno_profile_nsys,darcy_base_r281_ts_fp32,darcy,unknown,resolution,torchscript,fp32,1,torchscript,,281x281,281x281,33.56146829901263,33.501926343888044,33.82323309779167,33.82323309779167,33.28299196437001,33.90016267076135,98.81982421875,artifacts/benchmark_inputs/darcy_r281_bank.pt,artifacts/torchscript/darcy_fno_base_r281_seed1.ts,0,nsys representative profile reduced-overhead,darcy,281x281,8,False,,False,False,False,results/jetson_fno_profile_nsys/darcy_base_r281_ts_fp32.json,results/jetson_fno_profile_nsys/darcy_base_r281_ts_fp32_tegrastats.log,312.0,3199.0384615384614,3664.0,1479.0,9.797903846153853,16.403,2.625,99.0,48.82529487179504,50.875,results/jetson_fno_profile_nsys/darcy_base_r281_ts_fp32_tegrastats.log,True,False
jetson_fno_profile_nsys:darcy_base_r85_ts_fp32,jetson_fno_profile_nsys,darcy_base_r85_ts_fp32,darcy,unknown,resolution,torchscript,fp32,1,torchscript,,85x85,85x85,6.88509604272743,6.856245920062065,7.101021707057953,7.120989728718996,6.731281988322735,7.24860979244113,40.7568359375,artifacts/benchmark_inputs/darcy_r85_bank.pt,artifacts/torchscript/darcy_fno_base_r85_seed2.ts,0,nsys representative profile,darcy,85x85,8,False,,False,False,False,results/jetson_fno_profile_nsys/darcy_base_r85_ts_fp32.json,results/jetson_fno_profile_nsys/darcy_base_r85_ts_fp32_tegrastats.log,234.0,3137.4102564102564,3660.0,1478.0,9.906974358974361,16.499,3.7393162393162394,77.0,48.80774786324791,50.812,results/jetson_fno_profile_nsys/darcy_base_r85_ts_fp32_tegrastats.log,True,False
jetson_fno_profile_nsys:darcy_large_on421_ts_fp32,jetson_fno_profile_nsys,darcy_large_on421_ts_fp32,darcy,unknown,scale,torchscript,fp32,1,torchscript,,141x141,421x421,196.0324357263744,195.23547682911158,196.60252798348665,196.60252798348665,194.84323961660266,198.42828018590808,500.93408203125,artifacts/benchmark_inputs/darcy_r421_bank.pt,artifacts/torchscript/darcy_fno_large_seed0.ts,0,nsys frontier profile reduced-overhead,darcy,421x421,8,False,,False,False,False,results/jetson_fno_profile_nsys/darcy_large_on421_ts_fp32.json,results/jetson_fno_profile_nsys/darcy_large_on421_ts_fp32_tegrastats.log,517.0,3391.9961315280466,3959.0,1506.0,12.586524177949704,21.403,27.916827852998065,99.0,50.77672533849151,55.593,results/jetson_fno_profile_nsys/darcy_large_on421_ts_fp32_tegrastats.log,True,False
