profile_case,kernel_name_raw,kernel_family,invocations,section,metric_name,metric_unit,metric_min,metric_max,metric_avg,source_group
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,GPU Speed Of Light Throughput,SM Frequency,Mhz,998.9,998.9,998.9,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,GPU Speed Of Light Throughput,Memory Throughput,%,32.14,32.14,32.14,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,GPU Speed Of Light Throughput,Duration,us,17.25,17.25,17.25,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,GPU Speed Of Light Throughput,L1/TEX Cache Throughput,%,16.79,16.79,16.79,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,GPU Speed Of Light Throughput,L2 Cache Throughput,%,32.14,32.14,32.14,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,GPU Speed Of Light Throughput,Compute (SM) Throughput,%,38.62,38.62,38.62,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,Launch Statistics,Block Size,512.00,,,,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,Launch Statistics,Grid Size,155.00,,,,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,Launch Statistics,Registers Per Thread,register/thread,16.0,16.0,16.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,Launch Statistics,Shared Memory Configuration Size,Kbyte,8.19,8.19,8.19,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,Launch Statistics,Driver Shared Memory Per Block,Kbyte/block,1.02,1.02,1.02,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,Launch Statistics,Dynamic Shared Memory Per Block,byte/block,0.0,0.0,0.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,Launch Statistics,Static Shared Memory Per Block,byte/block,0.0,0.0,0.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,Launch Statistics,# SMs,SM,8.0,8.0,8.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,Launch Statistics,Uses Green Context,0.00,,,,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,Launch Statistics,Waves Per SM,6.46,,,,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,Memory Workload Analysis,Mem Busy,%,14.55,14.55,14.55,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,Memory Workload Analysis,Max Bandwidth,%,32.14,32.14,32.14,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,Memory Workload Analysis,L1/TEX Hit Rate,%,19.94,19.94,19.94,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,Memory Workload Analysis,L2 Compression Success Rate,%,0.0,0.0,0.0,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,Memory Workload Analysis,L2 Compression Ratio,0.00,,,,jetson_fno_profile_ncu
darcy_r281_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (155, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,Memory Workload Analysis,L2 Hit Rate,%,50.02,50.02,50.02,jetson_fno_profile_ncu
