experiment_name,selected_seed,mode,dataset,resolution,parameter_count,fp32_status,tf32_status,fp32_median_ms,tf32_median_ms,tf32_speedup_vs_fp32,tf32_latency_delta_pct,fp32_peak_cuda_alloc_mb,tf32_peak_cuda_alloc_mb
darcy_fno_base_modes24,1,torchscript,darcy,"[141, 141]",7383553,success,success,10.605597170069814,9.344664169475436,1.1349361494138275,-11.88931637110329,82.27197265625,82.27197265625
darcy_fno_base_nocoords,2,eager,darcy,"[141, 141]",3287473,success,success,9.118322050198913,7.825067033991218,1.1652707907280462,-14.183037285675638,54.10693359375,54.10693359375
darcy_fno_base_nocoords,2,torchscript,darcy,"[141, 141]",3287473,success,success,8.715686853975058,7.450720993801951,1.1697776445025114,-14.513668071910816,50.59716796875,50.59716796875
darcy_fno_base_pad0,1,eager,darcy,"[141, 141]",3287553,success,success,11.668800842016935,10.64787502400577,1.0958807100674524,-8.74919224205989,54.79736328125,54.79736328125
darcy_fno_base_pad0,1,torchscript,darcy,"[141, 141]",3287553,success,success,11.24664582312107,10.1987742818892,1.1027448507310003,-9.317191611721569,51.5361328125,51.5361328125
darcy_fno_base_pad15,0,eager,darcy,"[141, 141]",3287553,success,success,9.64416703209281,8.410625159740448,1.1466647067160973,-12.790548610859966,55.94677734375,55.94677734375
darcy_fno_base_pad15,0,torchscript,darcy,"[141, 141]",3287553,success,success,9.107382968068123,7.874801522120833,1.1565222237646102,-13.533870819629618,52.005859375,52.005859375
darcy_fno_base_r141,0,eager,darcy,"[141, 141]",3287553,success,success,9.371872060000896,8.057784056290984,1.1630830504428769,-14.021616975742054,54.25830078125,54.25830078125
darcy_fno_base_r141,0,torchscript,darcy,"[141, 141]",3287553,success,success,8.806976256892085,7.533032447099686,1.1691143399074146,-14.465166847650439,50.59716796875,50.59716796875
darcy_fno_base_r211,1,eager,darcy,"[211, 211]",3287553,success,success,18.128017196431756,16.459069913253188,1.101399853817663,-9.20645244923464,78.43212890625,78.43212890625
darcy_fno_base_r211,1,torchscript,darcy,"[211, 211]",3287553,success,success,17.23829540424049,15.446463832631707,1.1160027039861005,-10.394482340568343,70.4697265625,70.4697265625
darcy_fno_base_r281,1,eager,darcy,"[281, 281]",3287553,success,success,38.12659508548677,34.73730734549463,1.0975690978659498,-8.88956313143815,112.64501953125,112.64501953125
darcy_fno_base_r281,1,torchscript,darcy,"[281, 281]",3287553,success,success,36.85185709036887,33.58260402455926,1.0973495999124658,-8.871338716506687,98.81982421875,98.81982421875
darcy_fno_base_r421,1,eager,darcy,"[421, 421]",3287553,success,success,84.19109304668382,79.45310598006472,1.0596324965295616,-5.627658336722024,205.68310546875,205.68310546875
darcy_fno_base_r421,1,torchscript,darcy,"[421, 421]",3287553,success,success,81.9754459662363,76.53669896535575,1.0710606424682934,-6.634604956123847,175.3095703125,175.3095703125
darcy_fno_base_r85,2,eager,darcy,"[85, 85]",3287553,success,success,6.346567068248987,6.587759125977755,0.9633878450750171,3.8003546663111543,41.6611328125,41.6611328125
darcy_fno_base_r85,2,torchscript,darcy,"[85, 85]",3287553,success,success,5.8242150116711855,5.348264006897807,1.08899168106876,-8.171933965686652,40.7568359375,40.7568359375
darcy_fno_large,0,eager,darcy,"[141, 141]",28345217,success,success,30.550465919077396,28.528259601444006,1.0708843212269084,-6.619232331807461,265.49755859375,265.49755859375
darcy_fno_large,0,torchscript,darcy,"[141, 141]",28345217,success,success,29.653912177309394,27.874897001311183,1.0638214080545134,-5.999259609865168,260.93359375,260.93359375
darcy_fno_small,4,eager,darcy,"[141, 141]",667713,success,success,7.792694494128227,7.402234012261033,1.0527490053976187,-5.01059655503504,27.78369140625,27.78369140625
darcy_fno_small,4,torchscript,darcy,"[141, 141]",667713,success,success,7.155378581956029,6.82187988422811,1.0488866270570012,-4.660811359009209,25.5234375,25.5234375
