profile_case,kernel_name_raw,kernel_family,invocations,avg_duration_ms,avg_compute_pct,avg_memory_pct,avg_l1tex_hit_pct,avg_l2_hit_pct,avg_achieved_occupancy_pct,avg_eligible_warps_per_scheduler,avg_no_eligible_pct,avg_warp_cycles_per_issued_inst,source_group,category,paper_keep_flag
darcy_r281_ts_fp32_ncu,"void at::vectorized_elementwise_kernel<4, at::GeluCUDAKernelImpl(at::TensorIteratorBase &, at::GeluType)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], detail::Array<char *, 2>>(int, T2, T3) (6571, 1, 1)x(128, 1, 1)",vectorized_elementwise_kernel,4,285.07,37.31,78.32,0.0,49.99,87.67,,,,jetson_fno_profile_ncu,elementwise_fused,True
darcy_r281_ts_fp32_ncu,"void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_256x128_16x3_nn_align1>(T1::Params) (8, 39, 1)x(256, 1, 1)",cutlass_kernel,2,637.25,30.26,66.1,65.36,85.0,16.62,,,,jetson_fno_profile_ncu,dense_math,True
darcy_r281_ts_fp32_ncu,"void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_256x64_16x4_nn_align4>(T1::Params) (8, 42, 1)x(128, 1, 1)",cutlass_kernel,6,302.73,26.89,88.38,6.13,79.81,16.37,,,,jetson_fno_profile_ncu,dense_math,True
darcy_r281_ts_fp32_ncu,"void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_16x6_tn_align4>(T1::Params) (1315, 1, 1)x(128, 1, 1)",cutlass_kernel,2,377.7,50.53,75.77,2.86,88.52,24.22,,,,jetson_fno_profile_ncu,dense_math,True
darcy_r281_ts_fp32_ncu,"void gemvNSP_kernel<float, float, float, float, 1, 4, 4, 1024, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T10) (2468, 1, 1)x(32, 4, 1)","void gemvNSP_kernel<float, float, float, float, 1, 4, 4, 1024, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched",2,363.44,42.52,89.5,16.9,18.65,64.35,,,,jetson_fno_profile_ncu,dense_math,True
darcy_r281_ts_fp32_ncu,"void kernel_wrapper<unsigned int, &packR2C_kernel_impl<unsigned int, float>>(RealComplex_st<T1>) (6571, 1, 1)x(256, 1, 1)",packR2C_kernel,2,1.68,4.85,91.2,0.0,11.11,83.46,,,,jetson_fno_profile_ncu,fft_transform,True
darcy_r281_ts_fp32_ncu,"void postprocess_kernel<float, unsigned int, 2>(real_complex_args_t<T2>) (3308, 1, 1)x(256, 1, 1)",postprocess_kernel,8,287.66,31.99,91.61,17.86,53.02,88.43,,,,jetson_fno_profile_ncu,fft_transform,True
darcy_r281_ts_fp32_ncu,"void preprocess_kernel<float, unsigned int, 2>(real_complex_args_t<T2>) (3308, 1, 1)x(256, 1, 1)",preprocess_kernel,8,286.82,36.28,90.6,16.88,52.76,88.63,,,,jetson_fno_profile_ncu,fft_transform,True
darcy_r281_ts_fp32_ncu,"void prime_fft_factor<29, EPT<2>, 8, 0, 1, 14, 0, 2, 1, unsigned int, float>(kernel_arguments_t<T10>) (7300, 1, 1)x(8, 15, 1)",prime_fft_factor,16,529.92,82.84,76.35,11.39,55.53,96.54,,,,jetson_fno_profile_ncu,fft_transform,True
darcy_r281_ts_fp32_ncu,"void regular_fft_factor<2, EPT<2>, 256, 0, 6, 0, 2, 1, unsigned int, float>(kernel_arguments_t<T9>) (3308, 1, 1)x(256, 1, 1)",regular_fft_factor,16,373.62,76.18,69.28,52.05,51.67,89.56,,,,jetson_fno_profile_ncu,fft_transform,True
darcy_r281_ts_fp32_ncu,"void regular_fft_factor<5, EPT<5>, 256, 0, 6, 0, 2, 1, unsigned int, float>(kernel_arguments_t<T9>) (1324, 1, 1)x(256, 1, 1)",regular_fft_factor,16,286.27,49.61,80.72,8.0,50.16,80.71,,,,jetson_fno_profile_ncu,fft_transform,True
darcy_r281_ts_fp32_ncu,"void vector_fft<145, EPT<29>, 4, 0, 14, 0, 2, 0, unsigned int, float>(kernel_arguments_t<T9>) (2900, 1, 1)x(5, 4, 1)",vector_fft,16,417.82,37.28,95.94,56.8,61.62,29.63,,,,jetson_fno_profile_ncu,fft_transform,True
darcy_large_on421_ts_fp32_ncu,"ampere_sgemm_128x64_nn (1465, 1, 1)x(128, 1, 1)",ampere_sgemm_128x64_nn,10,1.79,75.15,63.97,32.92,62.36,32.87,,,,jetson_fno_profile_ncu_frontier,dense_math,True
darcy_large_on421_ts_fp32_ncu,"ampere_sgemm_32x128_tn (2, 1385, 1)x(256, 1, 1)",ampere_sgemm_32x128_tn,2,1.22,40.88,39.1,2.89,98.57,63.31,,,,jetson_fno_profile_ncu_frontier,dense_math,True
darcy_large_on421_ts_fp32_ncu,"fused_add_gelu (23437, 1, 1)x(512, 1, 1)",fused_add_gelu,6,2.68,34.84,70.48,0.0,29.45,80.11,,,,jetson_fno_profile_ncu_frontier,elementwise_fused,True
darcy_large_on421_ts_fp32_ncu,"fused_add_mul_add (347, 1, 1)x(512, 1, 1)",fused_add_mul_add,1,27.9,51.07,43.85,19.97,50.07,81.02,,,,jetson_fno_profile_ncu_frontier,elementwise_fused,True
darcy_large_on421_ts_fp32_ncu,"fused_unsqueeze_sub_add_div (347, 1, 1)x(512, 1, 1)",fused_unsqueeze_sub_add_div,1,28.35,49.29,43.69,19.97,50.01,81.99,,,,jetson_fno_profile_ncu_frontier,elementwise_fused,True
darcy_large_on421_ts_fp32_ncu,"std::enable_if<!T7, void>::type internal::kernel<int, int, float2, float2, float2, float2, 0, 1, 0, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<const float2>, cublasGemvTensorStridedBatched<float2>, float2>>(T13) (2, 1, 576)x(32, 2, 1)",cublas_internal_kernel,24,200.07,15.35,86.83,8.58,2.63,24.16,,,,jetson_fno_profile_ncu_frontier,dense_math,True
darcy_large_on421_ts_fp32_ncu,"void <unnamed>::elementwise_kernel_with_index<int, at::linspace_cuda_out(const c10::Scalar &, const c10::Scalar &, long, at::Tensor &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *) (7, 1, 1)x(64, 1, 1)","void <unnamed>::elementwise_kernel_with_index<int, at::linspace_cuda_out(const c10::Scalar &, const c10::Scalar &, long,",4,5.63,0.89,1.03,0.0,57.83,4.14,,,,jetson_fno_profile_ncu_frontier,elementwise_fused,True
darcy_large_on421_ts_fp32_ncu,"void at::<unnamed>::CatArrayBatchedCopy<at::<unnamed>::OpaqueType<4>, unsigned int, 4, 64, 64>(T1 *, at::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::<unnamed>::TensorSizeStride<T2, 4>, int, T2) (16, 3, 1)x(512, 1, 1)",CatArrayBatchedCopy,2,101.98,52.72,79.05,31.45,92.15,93.55,,,,jetson_fno_profile_ncu_frontier,movement_copy,True
darcy_large_on421_ts_fp32_ncu,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<float, float, float, binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3) (693, 1, 1)x(128, 1, 1)",elementwise_kernel,1,25.95,36.55,48.21,11.1,49.73,86.3,,,,jetson_fno_profile_ncu_frontier,elementwise_fused,True
darcy_large_on421_ts_fp32_ncu,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<float, float, float, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3) (693, 1, 1)x(128, 1, 1)",elementwise_kernel,1,24.86,29.74,49.87,11.1,49.8,85.22,,,,jetson_fno_profile_ncu_frontier,elementwise_fused,True
