"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","l1tex__data_bank_writes.avg.pct_of_peak_sustained_elapsed","%","1.66","1.66","1.66"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed","%","20.09","20.14","20.11"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","l1tex__data_pipe_tex_wavefronts.avg.pct_of_peak_sustained_elapsed","%","0.00","0.00","0.00"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","l1tex__f_wavefronts.avg.pct_of_peak_sustained_elapsed","%","0.00","0.00","0.00"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed","%","13.20","13.25","13.22"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","l1tex__lsuin_requests.avg.pct_of_peak_sustained_elapsed","%","10.14","10.17","10.16"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","l1tex__m_l1tex2xbar_req_cycles_active.avg.pct_of_peak_sustained_elapsed","%","4.10","4.16","4.13"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","l1tex__m_xbar2l1tex_read_sectors.avg.pct_of_peak_sustained_elapsed","%","2.69","2.69","2.69"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","l1tex__tex_writeback_active.avg.pct_of_peak_sustained_elapsed","%","0.00","0.00","0.00"
"2485885","python3.10","127.0.0.1","ampere_sgemm_128x32_tn","(256, 1, 1)","(2, 1, 2)","0","8.7","2","GPU Speed Of Light Throughput","l1tex__texin_sm2tex_req_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0.12","0.12","0.12"
