experiment_name,task,spatial_dim,input_shape,output_shape,parameter_count,selected_seed,test_rel_l2_mean,test_rel_l2_std,sensor_resolution,basis_dim,branch_hidden_dim,branch_layers,trunk_hidden_dim,trunk_layers,backend,precision,batch_size,num_warmup,num_iters,mean_ms,median_ms,p95_ms,p99_ms,std_ms,min_ms,max_ms,peak_cuda_allocated_mb,input_bank,checkpoint,torchscript,result_json
darcy_deeponet_base_r211,darcy,2,"[211, 211, 3]","[211, 211, 1]",4911105,2,0.07607058435678482,0.02503122203052044,52,128,512,4,256,4,torchscript,fp32,1,30,100,18.64852437749505,18.012407468631864,21.215951070189476,26.82150900363922,1.8703899393731744,17.19271717593074,29.662240762263536,93.37744140625,artifacts/benchmark_inputs/darcy_r211_bank.pt,artifacts/checkpoints/darcy_deeponet_base_r211_seed2_best.pt,artifacts/torchscript/darcy_deeponet_base_r211_seed2.ts,results/jetson_deeponet_fp32/darcy_deeponet_base_r211_torchscript_fp32.json
darcy_deeponet_base_r281,darcy,2,"[281, 281, 3]","[281, 281, 1]",8284161,0,0.0773429274559021,0.022728009149432182,70,128,512,4,256,4,eager,fp32,1,30,100,33.83670512586832,32.79448673129082,36.99703933671117,50.509316846728325,3.649318777388216,31.845128163695335,51.601959858089685,124.16845703125,artifacts/benchmark_inputs/darcy_r281_bank.pt,artifacts/checkpoints/darcy_deeponet_base_r281_seed0_best.pt,,results/jetson_deeponet_fp32/darcy_deeponet_base_r281_eager_fp32.json
darcy_deeponet_base_r281,darcy,2,"[281, 281, 3]","[281, 281, 1]",8284161,0,0.0773429274559021,0.022728009149432182,70,128,512,4,256,4,torchscript,fp32,1,30,100,32.65711157117039,31.885609263554215,37.19787811860442,41.987089440226555,2.627118841269379,30.38581693544984,48.002772964537144,107.2646484375,artifacts/benchmark_inputs/darcy_r281_bank.pt,artifacts/checkpoints/darcy_deeponet_base_r281_seed0_best.pt,artifacts/torchscript/darcy_deeponet_base_r281_seed0.ts,results/jetson_deeponet_fp32/darcy_deeponet_base_r281_torchscript_fp32.json
darcy_deeponet_base_r421,darcy,2,"[421, 421, 3]","[421, 421, 1]",17692161,2,0.07962183654308319,0.02281944639980793,105,128,512,4,256,4,eager,fp32,1,30,100,66.80474036140367,66.72552996315062,67.33374495524913,67.79433693736792,0.35789355247542065,66.37089210562408,69.22824494540691,164.556640625,artifacts/benchmark_inputs/darcy_r421_bank.pt,artifacts/checkpoints/darcy_deeponet_base_r421_seed2_best.pt,,results/jetson_deeponet_fp32/darcy_deeponet_base_r421_eager_fp32.json
darcy_deeponet_base_r421,darcy,2,"[421, 421, 3]","[421, 421, 1]",17692161,2,0.07962183654308319,0.02281944639980793,105,128,512,4,256,4,torchscript,fp32,1,30,100,64.14759291568771,64.04027849202976,64.69539098907262,65.17950398847461,0.3858089492199953,63.783742021769285,66.65206793695688,146.52783203125,artifacts/benchmark_inputs/darcy_r421_bank.pt,artifacts/checkpoints/darcy_deeponet_base_r421_seed2_best.pt,artifacts/torchscript/darcy_deeponet_base_r421_seed2.ts,results/jetson_deeponet_fp32/darcy_deeponet_base_r421_torchscript_fp32.json
darcy_deeponet_base_r85,darcy,2,"[85, 85, 3]","[85, 85, 1]",1717761,2,0.07068663090467453,0.021284116432070732,25,128,512,4,256,4,eager,fp32,1,30,100,4.8872636537998915,4.828620236366987,5.173287354409695,5.2573541179299355,0.16819971252105761,4.682742990553379,5.466224160045385,30.09619140625,artifacts/benchmark_inputs/darcy_r85_bank.pt,artifacts/checkpoints/darcy_deeponet_base_r85_seed2_best.pt,,results/jetson_deeponet_fp32/darcy_deeponet_base_r85_eager_fp32.json
darcy_deeponet_base_r85,darcy,2,"[85, 85, 3]","[85, 85, 1]",1717761,2,0.07068663090467453,0.021284116432070732,25,128,512,4,256,4,torchscript,fp32,1,30,100,3.9151704497635365,3.7429528310894966,4.370348993688822,7.118277717381716,0.6726720581173247,3.6504860036075115,9.104615077376366,30.01318359375,artifacts/benchmark_inputs/darcy_r85_bank.pt,artifacts/checkpoints/darcy_deeponet_base_r85_seed2_best.pt,artifacts/torchscript/darcy_deeponet_base_r85_seed2.ts,results/jetson_deeponet_fp32/darcy_deeponet_base_r85_torchscript_fp32.json
darcy_deeponet_base,darcy,2,"[141, 141, 3]","[141, 141, 1]",2639361,2,0.07332683354616165,0.021475525572896004,35,128,512,4,256,4,torchscript,fp32,1,30,100,8.884216384030879,8.525538956746459,10.517426766455173,14.283691998571157,1.1011778979983025,8.224520832300186,16.551924869418144,59.8037109375,artifacts/benchmark_inputs/darcy_r141_bank.pt,artifacts/checkpoints/darcy_deeponet_base_seed2_best.pt,artifacts/torchscript/darcy_deeponet_base_seed2.ts,results/jetson_deeponet_fp32/darcy_deeponet_base_torchscript_fp32.json
darcy_deeponet_large,darcy,2,"[141, 141, 3]","[141, 141, 1]",7603713,1,0.0787445604801178,0.023826180025935173,47,256,768,5,384,5,eager,fp32,1,30,100,24.50020557269454,23.564232047647238,27.25511882454157,39.68198411166668,2.810649926553675,22.926883306354284,40.4328559525311,99.55419921875,artifacts/benchmark_inputs/darcy_r141_bank.pt,artifacts/checkpoints/darcy_deeponet_large_seed1_best.pt,,results/jetson_deeponet_fp32/darcy_deeponet_large_eager_fp32.json
darcy_deeponet_large,darcy,2,"[141, 141, 3]","[141, 141, 1]",7603713,1,0.0787445604801178,0.023826180025935173,47,256,768,5,384,5,torchscript,fp32,1,30,100,23.176555200479925,22.353185107931495,27.387028094381094,33.27073762193322,2.518012673955388,21.899522747844458,40.22478498518467,99.32666015625,artifacts/benchmark_inputs/darcy_r141_bank.pt,artifacts/checkpoints/darcy_deeponet_large_seed1_best.pt,artifacts/torchscript/darcy_deeponet_large_seed1.ts,results/jetson_deeponet_fp32/darcy_deeponet_large_torchscript_fp32.json
darcy_deeponet_small,darcy,2,"[141, 141, 3]","[141, 141, 1]",514433,2,0.06628133356571198,0.018949415534734726,23,64,256,3,128,3,eager,fp32,1,30,100,4.039736529812217,3.9126542396843433,4.344908054918051,5.4842401295900345,0.6370515182267249,3.7696249783039093,9.940768126398325,31.92578125,artifacts/benchmark_inputs/darcy_r141_bank.pt,artifacts/checkpoints/darcy_deeponet_small_seed2_best.pt,,results/jetson_deeponet_fp32/darcy_deeponet_small_eager_fp32.json
darcy_deeponet_small,darcy,2,"[141, 141, 3]","[141, 141, 1]",514433,2,0.06628133356571198,0.018949415534734726,23,64,256,3,128,3,torchscript,fp32,1,30,100,2.9344237921759486,2.829467412084341,3.3799810335040092,3.702230751514435,0.22935436829088166,2.7391277253627777,4.0229130536317825,31.6982421875,artifacts/benchmark_inputs/darcy_r141_bank.pt,artifacts/checkpoints/darcy_deeponet_small_seed2_best.pt,artifacts/torchscript/darcy_deeponet_small_seed2.ts,results/jetson_deeponet_fp32/darcy_deeponet_small_torchscript_fp32.json
