result_tag,status,failure_class,mode,precision,checkpoint,torchscript,input_bank,batch_size,num_warmup,num_iters,mean_ms,median_ms,p95_ms,p99_ms,peak_cuda_allocated_mb,json
burgers_deeponet_base_r4096_eager_bf16_autocast,success,,eager,bf16_autocast,artifacts/checkpoints/burgers_deeponet_base_r4096_seed2_best.pt,,artifacts/benchmark_inputs/burgers_r4096_bank.pt,1,20,50,3.615417352411896,3.5553924972191453,3.9320780197158456,4.131508991122246,16.564453125,results/jetson_deeponet_precision/burgers_deeponet_base_r4096_eager_bf16_autocast.json
burgers_deeponet_base_r4096_eager_fp16_autocast,success,,eager,fp16_autocast,artifacts/checkpoints/burgers_deeponet_base_r4096_seed2_best.pt,,artifacts/benchmark_inputs/burgers_r4096_bank.pt,1,20,50,3.4708303725346923,3.454636491369456,3.5156150115653872,4.1523410473018885,16.564453125,results/jetson_deeponet_precision/burgers_deeponet_base_r4096_eager_fp16_autocast.json
burgers_deeponet_base_r4096_eager_fp16_native,success,,eager,fp16_native,artifacts/checkpoints/burgers_deeponet_base_r4096_seed2_best.pt,,artifacts/benchmark_inputs/burgers_r4096_bank.pt,1,20,50,3.0201421421952546,3.000363998580724,3.082319046370685,3.5946579882875085,14.32861328125,results/jetson_deeponet_precision/burgers_deeponet_base_r4096_eager_fp16_native.json
burgers_deeponet_base_r4096_eager_fp32_strict,success,,eager,fp32_strict,artifacts/checkpoints/burgers_deeponet_base_r4096_seed2_best.pt,,artifacts/benchmark_inputs/burgers_r4096_bank.pt,1,20,50,8.406658405438066,8.326700481120497,8.883265079930425,9.095047949813306,19.4970703125,results/jetson_deeponet_precision/burgers_deeponet_base_r4096_eager_fp32_strict.json
burgers_deeponet_base_r4096_eager_tf32,success,,eager,tf32,artifacts/checkpoints/burgers_deeponet_base_r4096_seed2_best.pt,,artifacts/benchmark_inputs/burgers_r4096_bank.pt,1,20,50,3.7193889473564923,3.707541443873197,3.8552749902009964,4.197207046672702,19.4970703125,results/jetson_deeponet_precision/burgers_deeponet_base_r4096_eager_tf32.json
burgers_deeponet_base_r4096_torchscript_bf16_autocast,success,,torchscript,bf16_autocast,artifacts/checkpoints/burgers_deeponet_base_r4096_seed2_best.pt,artifacts/torchscript/burgers_deeponet_base_r4096_seed2.ts,artifacts/benchmark_inputs/burgers_r4096_bank.pt,1,20,50,3.26624111039564,3.195587021764368,3.789287991821766,4.699368961155415,18.4501953125,results/jetson_deeponet_precision/burgers_deeponet_base_r4096_torchscript_bf16_autocast.json
burgers_deeponet_base_r4096_torchscript_fp16_autocast,success,,torchscript,fp16_autocast,artifacts/checkpoints/burgers_deeponet_base_r4096_seed2_best.pt,artifacts/torchscript/burgers_deeponet_base_r4096_seed2.ts,artifacts/benchmark_inputs/burgers_r4096_bank.pt,1,20,50,3.225201538298279,3.2269799266941845,3.351383958943188,3.585856989957392,18.4501953125,results/jetson_deeponet_precision/burgers_deeponet_base_r4096_torchscript_fp16_autocast.json
burgers_deeponet_base_r4096_torchscript_fp16_native,success,,torchscript,fp16_native,artifacts/checkpoints/burgers_deeponet_base_r4096_seed2_best.pt,artifacts/torchscript/burgers_deeponet_base_r4096_seed2.ts,artifacts/benchmark_inputs/burgers_r4096_bank.pt,1,20,50,2.4512920016422868,2.443768025841564,2.6054379995912313,3.3386159921064973,14.31298828125,results/jetson_deeponet_precision/burgers_deeponet_base_r4096_torchscript_fp16_native.json
burgers_deeponet_base_r4096_torchscript_fp32_strict,success,,torchscript,fp32_strict,artifacts/checkpoints/burgers_deeponet_base_r4096_seed2_best.pt,artifacts/torchscript/burgers_deeponet_base_r4096_seed2.ts,artifacts/benchmark_inputs/burgers_r4096_bank.pt,1,20,50,6.685477821156383,6.684417021460831,6.8395419511944056,6.926905014552176,19.4658203125,results/jetson_deeponet_precision/burgers_deeponet_base_r4096_torchscript_fp32_strict.json
burgers_deeponet_base_r4096_torchscript_tf32,success,,torchscript,tf32,artifacts/checkpoints/burgers_deeponet_base_r4096_seed2_best.pt,artifacts/torchscript/burgers_deeponet_base_r4096_seed2.ts,artifacts/benchmark_inputs/burgers_r4096_bank.pt,1,20,50,2.950595198199153,2.9532104381360114,3.106607939116657,3.245685016736388,19.4658203125,results/jetson_deeponet_precision/burgers_deeponet_base_r4096_torchscript_tf32.json
