08-04-2026 19:11:06 RAM 3773/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,8%@1728,0%@1728] GR3D_FREQ 44% cpu@63.25C soc2@61.718C soc0@62.375C gpu@63.75C tj@63.75C soc1@63.406C VDD_IN 11922mW/11715mW VDD_CPU_GPU_CV 4843mW/4685mW VDD_SOC 3103mW/3079mW
08-04-2026 19:11:06 RAM 3773/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,8%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 47% cpu@63.125C soc2@61.718C soc0@62.406C gpu@63.593C tj@63.593C soc1@63.531C VDD_IN 11963mW/11725mW VDD_CPU_GPU_CV 4843mW/4692mW VDD_SOC 3103mW/3080mW
08-04-2026 19:11:06 RAM 3773/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [9%@1728,10%@1728,16%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 46% cpu@63.187C soc2@61.718C soc0@62.437C gpu@63.343C tj@63.5C soc1@63.5C VDD_IN 12004mW/11737mW VDD_CPU_GPU_CV 4884mW/4700mW VDD_SOC 3098mW/3081mW
08-04-2026 19:11:06 RAM 3773/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [9%@1728,9%@1728,9%@1728,100%@1728,9%@1728,8%@1728] GR3D_FREQ 44% cpu@63.156C soc2@61.906C soc0@62.562C gpu@63.718C tj@63.718C soc1@63.406C VDD_IN 12004mW/11748mW VDD_CPU_GPU_CV 4884mW/4707mW VDD_SOC 3098mW/3082mW
08-04-2026 19:11:06 RAM 3773/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,9%@1728,0%@1728] GR3D_FREQ 46% cpu@63.156C soc2@61.75C soc0@62.312C gpu@63.5C tj@63.5C soc1@63.343C VDD_IN 11963mW/11756mW VDD_CPU_GPU_CV 4884mW/4714mW VDD_SOC 3098mW/3082mW
08-04-2026 19:11:06 RAM 3773/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 45% cpu@63.125C soc2@61.781C soc0@62.375C gpu@63.312C tj@63.5C soc1@63.5C VDD_IN 11963mW/11764mW VDD_CPU_GPU_CV 4884mW/4720mW VDD_SOC 3103mW/3083mW
08-04-2026 19:11:06 RAM 3773/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 45% cpu@63.125C soc2@61.812C soc0@62.375C gpu@63.656C tj@63.656C soc1@63.562C VDD_IN 11963mW/11771mW VDD_CPU_GPU_CV 4843mW/4725mW VDD_SOC 3103mW/3084mW
08-04-2026 19:11:06 RAM 3773/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 46% cpu@63.062C soc2@61.812C soc0@62.5C gpu@63.593C tj@63.593C soc1@63.343C VDD_IN 11922mW/11776mW VDD_CPU_GPU_CV 4843mW/4729mW VDD_SOC 3103mW/3084mW
08-04-2026 19:11:07 RAM 3773/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,8%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 45% cpu@63.218C soc2@61.687C soc0@62.375C gpu@63.281C tj@63.375C soc1@63.375C VDD_IN 11922mW/11781mW VDD_CPU_GPU_CV 4843mW/4733mW VDD_SOC 3103mW/3085mW
08-04-2026 19:11:07 RAM 3773/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,8%@1728] GR3D_FREQ 45% cpu@63.062C soc2@61.718C soc0@62.312C gpu@63.656C tj@63.656C soc1@63.375C VDD_IN 11922mW/11785mW VDD_CPU_GPU_CV 4843mW/4736mW VDD_SOC 3103mW/3086mW
